cell,precision,traj_id,step_idx,n_steps,actor,n_tokens,n_content_tokens,U_all,U_stopfilter,U_content,mean_prob,label_fail
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,14,28,agent,67,15,0.6180535188418158,0.4911709169190291,1.1442164639631907,0.7059735542307596,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,16,28,agent,45,17,0.8652931471219568,1.0956379071932498,1.9825382162542904,0.7102884676683678,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,18,28,agent,50,8,0.20491519486395873,0.17750629453008254,0.47149018570780754,0.850932749612139,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,20,28,agent,90,19,0.47916424057490675,0.4632608312515897,1.137799695134163,0.7654895888573182,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,22,28,agent,65,20,0.47245042365471424,0.48460450247429504,0.952365817129612,0.732575383864743,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,24,28,agent,60,7,0.17549356439416536,0.15204043547951793,0.5456642891679492,0.8833581462221074,1
qwen14B-int4_retail_50runs,bf16,8ef40c5b-9d9e-45d0-9c12-38c78c1420b5,26,28,agent,122,20,0.48562553070037273,0.5397170591260051,1.7052176967263222,0.8146368393588677,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,2,28,agent,105,38,1.8800151106182186,2.3441692082535215,2.881878520705198,0.5383622093155318,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,4,28,agent,50,12,1.1056035737053025,1.0694340300995262,2.340003687888384,0.6790141851926765,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,6,28,agent,118,26,0.6493535470323063,0.4825677946407661,1.0861792171803804,0.7065407818033395,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,8,28,agent,61,15,1.2225829038388358,1.7640672888929316,3.053947189450264,0.5967443589469819,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,10,28,agent,75,19,3.160688640985251,2.9971112765303096,6.317904688810048,0.533192320300531,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,12,28,agent,47,12,0.47762925348890223,0.4668288429067557,0.9349892325699329,0.7508395829207305,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,14,28,agent,72,19,0.3277635635995632,0.40134619501125357,0.7072845630739865,0.8113332327764451,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,16,28,agent,129,19,0.3582892947814073,0.27307660606525513,0.8282206372210854,0.7996388688744669,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,18,28,agent,58,10,3.8558161987765582,3.6557795816595435,11.655993647873402,0.5160020839741273,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,20,28,agent,184,53,0.8123235994081702,0.9605638161928445,2.032723087887719,0.6901291237249532,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,22,28,agent,180,32,0.433281642306067,0.3831992853659039,1.3275786475278437,0.8150349630598321,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,24,28,agent,107,20,2.179716882436794,2.04635441089658,6.83643222078681,0.6875936927148546,1
qwen14B-int4_retail_50runs,bf16,f6190ee4-cbd0-4223-ad2d-c58745b16076,26,28,agent,155,19,0.21487252705323834,0.18850431317750574,0.750453360770878,0.8842368864427532,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,2,30,agent,76,29,2.896403678044228,3.902727592912967,4.852516743129697,0.46840533982367516,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,4,30,agent,73,20,3.3786524401773788,3.2442505085321014,6.0782088220119475,0.509011300426435,1
qwen14B-int4_retail_50runs,bf16,ff0c06f9-baa8-44c4-bcdf-150028fa2a2f,6,30,agent,73,20,0.8441261330455544,0.8509523998673911,1.6493997894227506,0.6556657699815392,1
