cell,variant,embedder,traj_id,step_idx,n_steps,actor,d_a_sem,d_a_lex,d_a_gated,d_oA,d_oA_calibrated,d_oU,user_is_tool_turn,label_fail
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,11,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,12,38,agent,0.7848591208457947,0.23255813953488372,0.0,0.4750228524208069,-0.037192131791796035,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,13,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,14,38,agent,0.8299663662910461,0.9117647058823529,0.0,0.4630115032196045,-0.07086248482976643,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,15,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,16,38,agent,0.9092373251914978,0.9090909090909091,0.0,0.5199742019176483,-0.00692486124379299,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,17,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,18,38,agent,0.8546526432037354,0.9117647058823529,0.0,0.4750109910964966,-0.05706182760851719,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,19,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,20,38,agent,0.9014471769332886,0.9090909090909091,0.0,0.4947396516799927,-0.0464489523853574,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,21,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,22,38,agent,0.8593736886978149,0.9393939393939394,0.0,0.45667320489883423,-0.07973477670124596,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,23,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,24,38,agent,0.9105395674705505,0.9090909090909091,0.0,0.49650752544403076,-0.02084454894065857,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,25,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,26,38,agent,0.8379809260368347,0.9393939393939394,0.0,0.44335925579071045,-0.0602438769170216,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,27,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,28,38,agent,0.8993394374847412,0.9090909090909091,0.0,0.4957064390182495,-0.006643359150205308,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,29,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,30,38,agent,0.8889927268028259,0.9393939393939394,0.0,0.4792787432670593,-0.03297679552010124,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,31,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,32,38,agent,0.9241558909416199,0.8260869565217391,0.0,0.49028849601745605,-0.028789056198937568,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,33,38,tool,,,,,,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,34,38,agent,0.8384388089179993,0.6923076923076923,0.0,0.47168880701065063,-0.06933682092598503,,0,1
qwen32B-int4_airline_50runs,verbalized,bge-m3,fb5331ce-98eb-4888-94ac-b1f2c5b667fd,35,38,tool,,,,,,,0,1
